# CSV file produced by Simufact
# Date of creation: 10.04.2023 18:50:10
#
# 1 (Z coordinates - mm);1 (Z normal stress - MPa)
4.85292;132.331
4.75892;107.015
4.66491;81.922
4.57091;57.0526
4.47691;32.4071
4.3829;7.98563
4.2889;-16.2113
4.18766;-43.6977
4.08643;-71.6583
3.98519;-100.097
3.88396;-129.016
3.78272;-126.405
3.68149;-123.575
3.57302;-123.597
3.46455;-123.171
3.35609;-122.283
3.24762;-120.655
3.13915;-118.492
3.03069;-115.845
2.92584;-109.09
2.82099;-105.819
2.71614;-105.173
2.61128;-104.752
2.50643;-104.557
2.40158;-104.586
2.31119;-104.814
2.22081;-105.234
2.13042;-105.847
2.04003;-106.652
1.94964;-107.65
1.85925;-118.022
1.77248;-166.238
1.68571;-214.513
1.59893;-262.334
1.51216;-309.709
1.42539;-356.876
1.33861;-403.837
1.24461;-453.442
1.1506;-503.11
1.0566;-552.843
0.962596;-602.639
0.868592;-619.692
0.774588;-606.311
0.676968;-592.381
0.579348;-578.414
0.481729;-564.409
0.384109;-550.366
0.286489;-536.282
0.188869;-522.158
