# CSV file produced by Simufact
# Date of creation: 10.04.2023 18:55:06
#
# 1 (Y coordinates - mm);1 (Z normal stress - MPa)
77.2227;84.1709
77.1287;70.7332
77.0347;57.6941
76.9407;45.0535
76.8467;32.8112
76.7527;26.138
76.6587;22.3538
76.5719;18.6196
76.4851;14.9003
76.3984;11.1957
76.3116;7.50591
76.2248;3.83086
76.138;0.170556
76.0693;-5.16111
76.0006;-11.0906
75.9319;-17.6361
75.8633;-24.8159
75.7946;-34.0923
75.7259;-43.5254
75.4222;-68.9001
75.1184;-97.9115
74.8147;-122.274
74.511;-106.573
74.2073;-90.6382
73.9036;-74.5564
73.8313;-68.5814
73.759;-61.6505
73.6867;-54.6274
73.6144;-47.5143
73.5421;-40.3136
73.4698;-33.0275
73.4083;-26.316
73.3468;-19.5727
73.2854;-12.7977
73.2239;-5.99099
73.1624;0.847542
73.101;7.71785
73.0359;14.7551
72.9708;21.8524
72.9057;29.1892
72.8407;37.6455
72.7756;46.5131
72.7105;55.7921
